id,host_id,district,neighbourhood,latitude,longitude,room_type,price,min_stay,reviews,last_review,reviews_per_month,host_listings
18666,71615,Sant Martí,el Camp de l'Arpa del Clot,41.40889,2.18555,Entire home/apt,130,3,1,2015-10-10,0.02,30
18674,71615,Eixample,la Sagrada Família,41.4042,2.17306,Entire home/apt,60,1,20,2019-10-19,0.25,30
23197,90417,Sant Martí,el Besòs i el Maresme,41.41203,2.22114,Entire home/apt,210,3,51,2019-09-29,0.48,2
25786,108310,Gràcia,la Vila de Gràcia,41.40145,2.15645,Private room,32,1,268,2019-11-06,2.38,1
31958,136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4095,2.15938,Entire home/apt,60,1,182,2019-10-16,1.71,39
32471,136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40928,2.16112,Entire home/apt,70,1,90,2019-11-05,0.84,39
32615,141199,Les Corts,les Corts,41.3872,2.14088,Private room,30,29,19,2014-05-12,0.17,1
32711,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40464,2.16954,Entire home/apt,140,2,59,2019-10-19,0.58,14
34241,73163,Ciutat Vella,el Barri Gòtic,41.37916,2.17535,Private room,100,5,8,2013-07-15,0.07,2
34981,73163,Ciutat Vella,el Barri Gòtic,41.37859,2.1773,Entire home/apt,250,4,142,2019-10-08,1.28,2
35379,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39036,2.15274,Private room,40,2,277,2019-10-30,2.97,4
35388,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39065,2.15196,Private room,30,2,231,2019-10-13,2.25,4
35390,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39153,2.15125,Private room,30,2,228,2019-11-08,2.5,4
35392,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39082,2.15078,Private room,45,2,203,2019-11-06,3.24,4
36763,158596,Ciutat Vella,la Barceloneta,41.37906,2.19141,Private room,38,2,73,2019-10-15,0.74,1
40983,177617,Eixample,la Dreta de l'Eixample,41.3956,2.16761,Entire home/apt,130,2,327,2019-11-02,3.2,3
46153,90417,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,Entire home/apt,46,32,2,2018-09-30,0.02,2
49213,208154,Sants-Montjuïc,el Poble Sec,41.37315,2.1664,Private room,35,3,48,2019-09-27,0.63,2
